PDF URL,Population,Percent POC,Percent 0-17,Per Capita Income
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-91.09906537,30.24368202",3720,63%,11%,21330
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-96.61444604,32.30630398",17021,63%,,31893
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-88.6461465,31.674883",5917,62%,,22747
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-83.81408212,32.01751208",1496,64%,20%,34115
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-95.92398275,41.21960529",80628,54%,,29925
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-94.85483234,39.7548294",45237,22%,,28051
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-90.05483043,35.06121425",51771,97%,,
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-96.5946774,32.30461662",12426,67%,,30240
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-101.8247348,33.55894605",44243,74%,,
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-78.17946394,35.78405071",3413,47%,27%,26538
"https://ejscreen.epa.gov/mapper/demogreportpdf.aspx?feattype=point&radius=3.0&coords=-89.13313088,41.02285227",1380,19%,21%,32485
